Model,Baseline_C_Index,Baseline_AIC,Subject_C_Index,Subject_AIC,Subject_Frailty_Var,Difficulty_C_Index,Difficulty_AIC,Difficulty_Frailty_Var,N_Observations,N_Events,Subject_AIC_Improvement,Difficulty_AIC_Improvement
claude_35,0.7596476510067114,5233.97785734122,0.7570366404225026,3833.43147205137,0.0007264783760394732,0.7595430739273484,4176.464919294935,0.0005656954619182766,2372,381,1400.5463852898506,1057.5129380462859
deepseek_r1,0.8005014616335633,2052.540217739346,0.8158175375829921,1458.409744567702,0.003392627107949691,0.8014268176869803,1619.5387648345702,0.0003559480015035178,1569,156,594.1304731716441,433.001452904776
gemini_25,0.8108072400581319,253.3584181676178,0.7897810218978102,185.91965840796945,2.9077940250442222e-05,0.8095834078312176,199.35169329475076,0.00013698544103492034,1803,19,67.43875975964835,54.00672487286704
gpt_default,0.7539822800320467,1007.6832196254026,0.7467712542587751,703.6951341482778,0.0010925611389218748,0.7492585094863707,800.4513675788154,6.126852223088157e-05,1641,75,303.98808547712474,207.23185204658716
gpt_oss,0.7667454873223609,1071.5455185390633,0.7761569416498993,764.715450311972,0.00023193558707567058,0.7671775772334432,846.590763403753,0.00018594759723583972,1623,80,306.8300682270914,224.95475513531028
llama_33,0.7968252108716026,2419.6883233895783,0.7887276409044887,1709.3060726579833,0.003967857498593705,0.7972668885659369,1897.5114112886047,0.0010576736719351348,1371,188,710.3822507315949,522.1769121009736
llama_4_maverick,0.7779701446598953,1122.1443107358891,0.7734094271824139,805.1096374019113,0.004652885235296488,0.7789964635333915,881.1925195080332,0.0006552321108562355,1293,87,317.0346733339778,240.9517912278559
llama_4_scout,0.7694851254357422,2780.0784275451188,0.7653078455874903,1952.622811189101,0.0050655231397656545,0.7687750772010168,2185.6897842229655,0.0011511147750094288,1452,215,827.4556163560178,594.3886433221533
mistral_large,0.7942530931007407,1928.3128775391335,0.7983368869936034,1374.3396862149707,0.0017648203614457213,0.7937478666514962,1510.7780201959665,0.0005887730583067024,1365,150,553.9731913241628,417.534857343167
qwen_3,0.7736994346320726,559.437414371091,0.7510887004354801,415.8501823495672,0.00023103446752034822,0.7699177646122557,442.9307363957173,9.0307747873664e-05,1692,42,143.5872320215238,116.50667797537369
qwen_max,0.7804090537223889,1010.0484249539403,0.7797258920854426,734.2999583551638,0.0003100590921307521,0.7835627281122202,798.957847486882,0.00015719659250555947,1527,76,275.74846659877653,211.09057746705832
