difficulty,time_to_failure_mean,time_to_failure_std,time_to_failure_count,avg_context_to_prompt_drift_mean,avg_context_to_prompt_drift_std,avg_prompt_to_prompt_drift_mean,avg_prompt_to_prompt_drift_std,avg_prompt_complexity_mean,avg_prompt_complexity_std,model
college,4.557,2.587,122,0.111,0.043,0.031,0.017,78.978,59.904,llama_33
elementary,4.677,2.603,127,0.108,0.041,0.032,0.016,78.265,64.651,llama_33
high_school,4.574,2.467,162,0.11,0.045,0.032,0.017,86.173,73.521,llama_33
professional,4.457,2.656,46,0.106,0.048,0.029,0.011,82.645,74.656,llama_33
college,7.339,1.785,174,0.098,0.046,0.035,0.018,76.891,69.395,gemini_25
elementary,7.549,1.471,164,0.091,0.042,0.033,0.017,74.002,56.812,gemini_25
high_school,7.467,1.623,199,0.098,0.043,0.034,0.018,71.044,53.836,gemini_25
professional,7.25,1.792,52,0.085,0.037,0.03,0.014,80.551,76.191,gemini_25
college,5.41,2.736,144,0.11,0.047,0.035,0.019,67.257,55.061,deepseek_r1
elementary,5.274,2.593,146,0.104,0.048,0.035,0.019,80.509,73.54,deepseek_r1
high_school,4.995,2.66,186,0.097,0.043,0.033,0.016,80.258,68.91,deepseek_r1
professional,5.234,2.845,47,0.107,0.043,0.032,0.012,69.454,55.804,deepseek_r1
college,7.486,1.672,148,0.143,0.059,0.073,0.029,81.712,77.57,CARG
elementary,7.51,1.631,153,0.138,0.057,0.07,0.027,72.961,55.51,CARG
high_school,7.328,1.931,192,0.135,0.053,0.068,0.028,79.781,69.065,CARG
professional,7.458,1.75,48,0.147,0.043,0.072,0.02,61.667,34.09,CARG
college,5.372,2.705,121,0.108,0.049,0.034,0.018,77.32,62.933,mistral_large
elementary,5.289,2.787,128,0.113,0.047,0.03,0.014,79.839,64.705,mistral_large
high_school,5.225,2.875,160,0.114,0.047,0.033,0.017,78.36,69.763,mistral_large
professional,5.239,2.83,46,0.125,0.053,0.035,0.014,72.167,71.87,mistral_large
college,6.98,2.158,149,0.126,0.054,0.037,0.021,71.378,58.089,gpt_default
elementary,6.595,2.396,153,0.119,0.055,0.033,0.016,77.353,65.8,gpt_default
high_school,6.845,2.213,194,0.119,0.054,0.034,0.017,78.909,71.359,gpt_default
professional,7.118,1.935,51,0.123,0.057,0.033,0.015,65.314,49.946,gpt_default
college,4.876,2.619,129,0.127,0.051,0.034,0.016,75.465,73.626,llama_4_scout
elementary,4.522,2.545,134,0.125,0.053,0.037,0.019,75.831,65.612,llama_4_scout
high_school,4.394,2.615,175,0.122,0.046,0.033,0.018,74.798,59.791,llama_4_scout
professional,4.957,2.607,46,0.12,0.043,0.035,0.017,85.928,70.213,llama_4_scout
college,4.24,2.452,175,0.15,0.063,0.039,0.019,76.67,64.322,claude_35
elementary,4.296,2.499,162,0.142,0.057,0.036,0.017,76.213,64.971,claude_35
high_school,4.507,2.472,201,0.145,0.054,0.035,0.015,71.486,54.278,claude_35
professional,4.6,2.484,55,0.155,0.054,0.037,0.018,66.75,40.314,claude_35
college,6.13,2.628,115,0.098,0.05,0.033,0.019,81.632,73.404,llama_4_maverick
elementary,6.405,2.366,116,0.103,0.05,0.031,0.016,78.632,66.981,llama_4_maverick
high_school,6.093,2.621,151,0.105,0.049,0.035,0.018,71.812,57.655,llama_4_maverick
professional,6.673,2.086,49,0.112,0.062,0.035,0.018,72.667,70.642,llama_4_maverick
college,6.13,2.413,138,0.108,0.044,0.033,0.015,73.993,57.56,qwen_max
elementary,6.182,2.343,143,0.107,0.046,0.031,0.016,79.219,58.96,qwen_max
high_school,5.907,2.546,182,0.118,0.048,0.036,0.02,76.381,72.136,qwen_max
professional,5.587,2.57,46,0.108,0.056,0.033,0.018,88.754,84.072,qwen_max
