difficulty,time_to_failure_mean,time_to_failure_std,time_to_failure_count,model
college,3.824390243902439,2.229127641711351,205,llama_33
elementary,4.3076923076923075,1.8432134703923737,13,llama_33
high_school,4.34375,2.1618536285121412,64,llama_33
professional,3.792207792207792,2.2144124938900562,77,llama_33
,,,0,llama_33
college,3.735294117647059,2.2061734804917212,34,gemini_25
elementary,3.6,2.5473297566057065,10,gemini_25
high_school,3.909090909090909,2.0225995873897262,11,gemini_25
professional,3.5789473684210527,2.193824399781355,19,gemini_25
,,,0,gemini_25
college,3.754601226993865,2.2962449877358884,163,deepseek_r1
elementary,3.75,2.0599975105785306,40,deepseek_r1
high_school,3.6140350877192984,1.84926999076578,57,deepseek_r1
professional,3.6956521739130435,2.270684969382373,69,deepseek_r1
,,,0,deepseek_r1
college,3.1470588235294117,2.5242142844874906,34,CARG
elementary,3.0,2.6457513110645907,3,CARG
high_school,4.0,2.908872369413698,14,CARG
professional,3.9166666666666665,2.968266507678524,12,CARG
,,,0,CARG
college,3.1801242236024843,1.9744879043620525,161,mistral_large
elementary,3.8,2.455314934702151,15,mistral_large
high_school,3.7142857142857144,2.4014986502589935,28,mistral_large
professional,3.702127659574468,2.4039360262143745,47,mistral_large
,,,0,mistral_large
college,3.4347826086956523,1.8509001059068628,69,gpt_default
elementary,3.2857142857142856,1.1126972805283737,7,gpt_default
high_school,3.0454545454545454,1.8381479480139455,22,gpt_default
professional,2.892857142857143,1.5948826896203978,28,gpt_default
,,,0,gpt_default
college,3.7745098039215685,2.249934263933423,204,llama_4_scout
elementary,3.4,1.734040527705203,30,llama_4_scout
high_school,4.166666666666667,2.225938512153246,60,llama_4_scout
professional,3.4078947368421053,2.1177197269953507,76,llama_4_scout
,,,0,llama_4_scout
college,3.382575757575758,1.6936021957002751,264,claude_35
elementary,3.15625,1.5680144625731962,32,claude_35
high_school,3.19672131147541,1.1806731431849593,61,claude_35
professional,3.0405405405405403,1.6670800425285417,74,claude_35
,,,0,claude_35
college,3.419753086419753,2.257566153686666,81,llama_4_maverick
elementary,3.7777777777777777,2.5385910352879693,9,llama_4_maverick
high_school,3.676470588235294,1.6827212490900083,34,llama_4_maverick
professional,4.048780487804878,1.935861817281842,41,llama_4_maverick
,,,0,llama_4_maverick
college,3.9675324675324677,2.030547210990956,154,qwen_max
elementary,4.0,2.9277002188455996,8,qwen_max
high_school,3.466666666666667,2.063364064911429,30,qwen_max
professional,4.333333333333333,1.8463723646899908,45,qwen_max
,,,0,qwen_max
